0.56 110.404 64.6226 -16.3135 -13.2227 37.551 104.736 -13.8922 -10.8774 1.23146 -2.65269 21.1469 22.5959 15.1008 16.1032 15.9293 14.438 13.5358 15.2887
0.57 92.5081 59.5276 -17.5535 -13.8995 37.6025 91.7106 -7.77718 -5.73706 1.18889 -2.04009 18.2236 15.3272 15.3269 15.8549 15.729 14.6562 13.679 15.3072
0.58 77.1469 54.1577 -18.7395 -14.7214 37.0722 79.2053 -2.65977 -1.15583 1.23564 -1.32043 15.3893 9.3148 15.5188 15.4954 15.4218 14.8842 13.7968 15.274
0.59 64.3341 48.8069 -19.7806 -15.6531 36.1406 67.9631 1.68006 2.82983 1.36564 -0.511911 12.656 4.36191 15.6325 15.0211 14.9994 15.0768 13.8481 15.1464
0.6 53.7844 43.6522 -20.588 -16.6299 34.9351 58.2054 5.36853 6.18524 1.55997 0.348368 10.0328 0.295749 15.6338 14.4485 14.4721 15.1915 13.8028 14.8982
0.61 45.1357 38.8009 -21.0914 -17.5661 33.5345 49.8882 8.45746 8.88628 1.78753 1.20733 7.5338 -3.01589 15.504 13.81 13.866 15.1955 13.6475 14.5251
0.62 38.0461 34.32 -21.2515 -18.3695 31.9849 42.857 10.9559 10.93 2.00938 2.00382 5.1809 -5.67116 15.2424 13.1465 13.2174 15.0706 13.3882 14.0462
0.63 32.2266 30.2512 -21.0644 -18.9575 30.3177 36.9304 12.8619 12.3411 2.18527 2.6791 3.00023 -7.74941 14.8642 12.498 12.5653 14.8157 13.0491 13.4986
0.64 27.4447 26.6158 -20.5571 -19.271 28.5653 31.9397 14.186 13.1715 2.28038 3.18662 1.01502 -9.32539 14.3961 11.8973 11.9449 14.445 12.6665 12.9288
0.65 23.5163 23.4177 -19.7784 -19.2821 26.7683 27.7417 14.9625 13.4936 2.27002 3.49805 -0.76172 -10.4771 13.8696 11.3664 11.3828 13.983 12.2802 12.3824
0.66 20.2951 20.6448 -18.7878 -18.9935 24.9744 24.2192 15.2493 13.3913 2.14159 3.60461 -2.33092 -11.2859 13.3144 10.9158 10.8957 13.4583 11.9261 11.8958
0.67 17.6622 18.2723 -17.6461 -18.4321 23.2322 21.2753 15.1208 12.9507 1.89413 3.51483 -3.70639 -11.8319 12.7553 10.5471 10.4907 12.8986 11.6305 11.4921
0.68 15.519 16.2659 -16.4092 -17.6412 21.5839 18.8272 14.6588 12.2537 1.53649 3.25034 -4.90986 -12.1867 12.2106 10.2553 10.1672 12.327 11.4081 11.1805
0.69 13.7811 14.5857 -15.1258 -16.6714 20.0597 16.8013 13.945 11.3751 1.08535 2.84169 -5.96456 -12.4082 11.6925 10.0315 9.9191 11.7616 11.2619 10.9587
0.7 12.375 13.1886 -13.8364 -15.5749 18.6752 15.1302 13.0555 10.3809 0.563295 2.32467 -6.88955 -12.5373 11.2095 9.86518 9.73708 11.2161 11.186 10.8158
0.71 11.236 12.0309 -12.5747 -14.4014 17.4322 13.7516 12.0585 9.32902 -0.00301304 1.73747 -7.69645 -12.598 10.7672 9.74537 9.61007 10.7012 11.168 10.7365
0.72 10.3069 11.0698 -11.368 -13.1961 16.3212 12.6081 11.013 8.26964 -0.584718 1.11818 -8.38882 -12.6004 10.3702 9.6617 9.52671 10.2252 11.1919 10.7034
0.73 9.53794 10.2651 -10.2378 -11.9988 15.325 11.648 9.96838 7.24472 -1.15299 0.5025 -8.9639 -12.5448 10.022 9.60495 9.4763 9.79553 11.2412 10.7002
0.74 8.88674 9.58077 -9.20032 -10.8428 14.4226 10.8262 8.96375 6.28774 -1.68137 -0.0784214 -9.41585 -12.4266 9.72516 9.5673 9.44936 9.41801 11.3002 10.7122
